term,definition,level
"Vaisheshika","Astika: orthodox school of atomism; categorizes all reality into substances, qualities, and actions",2
"Samkhya","Astika: orthodox dualistic school; enumerates 25 tattvas arising from Purusha (pure consciousness) and Prakriti (matter)",2
"Yoga","Astika: orthodox school of Patanjali; practical 8-limbed path to liberate Purusha from Prakriti through discipline and meditation",2
"Mimamsa / Purva Mimamsa","Astika: orthodox school of Vedic ritual interpretation; emphasizes correct performance of dharma and sacrificial rites",2
"Vedanta / Uttara Mimamsa","Astika: orthodox school exploring the nature of Brahman; encompasses Advaita (non-dualism), Dvaita (dualism), and Vishishtadvaita among others",2
"Buddhism","Nastika: heterodox school founded by Siddhartha Gautama; rejects Vedic authority; teaches the Four Noble Truths, Eightfold Path, impermanence, and no-self (anatta)",2
"Jainism","Nastika: heterodox school associated with Mahavira; rejects Vedic authority; teaches ahimsa, anekantavada (non-absolutism), and liberation through non-attachment",2
"Charvaka","Nastika: heterodox materialist school; rejects the Vedas and all metaphysics; holds that only direct perception (pratyaksha) is valid knowledge",2
"Vata","Dosha composed of air (Vayu) and space (Akasha); governs movement, creativity, and the nervous system; imbalance manifests as anxiety, dryness, and irregular digestion",2
"Pitta","Dosha composed of fire (Agni) and water (Jala); governs transformation, digestion, and metabolism; imbalance manifests as anger, inflammation, and overheating",2
"Kapha","Dosha composed of earth (Prithvi) and water (Jala); governs stability, lubrication, and structure; imbalance manifests as lethargy, congestion, and weight gain",2
"Ahimsa","Yama: non-violence; refraining from harm in thought, word, and deed toward all living beings",2
"Satya","Yama: truthfulness; alignment of thought, speech, and action with truth",2
"Asteya","Yama: non-stealing; not taking what has not been freely given, including time, ideas, or energy",2
"Brahmacharya","Yama: right use of energy or continence; traditionally celibacy; broadly the conservation and redirection of vital energy away from sensory indulgence",2
"Aparigraha","Yama: non-possessiveness; not hoarding; taking only what is necessary and releasing attachment to outcomes",2
"Dhauti","Shatkarma: internal cleansing; 13 types including voluntary vomiting (Kunjal Kriya) and cloth swallowing (Vastra Dhauti); purifies the digestive tract",2
"Basti","Shatkarma: yogic enema; cleansing of the colon using water; removes waste and balances Apana Vayu",2
"Neti","Shatkarma: nasal passage cleansing; Jala Neti uses warm saline water; Sutra Neti uses a waxed thread; clears sinuses and supports pranayama",2
"Nauli","Shatkarma: abdominal massage through isolation and churning of the rectus abdominis; massages internal organs and stimulates digestive fire (Agni)",2
"Trataka","Shatkarma: one-pointed gazing, typically at a candle flame without blinking; purifies and strengthens the eyes; develops concentration (Dharana)",2
"Kapalabhati","Shatkarma: skull-shining breath; forceful rapid exhalations with passive inhalations; cleanses the respiratory tract and energizes the mind",2
"Mana","Antahkarana: the indecisive mind; receives and processes sensory input; generates doubts and mental fluctuations (vrittis)",2
"Buddhi","Antahkarana: the intellect; the decisive faculty; discerns, determines, and provides clarity and wisdom",2
"Citta","Antahkarana: memory and the subconscious; the storehouse of impressions (samskaras) and past experiences",2
"Ahamkara","Antahkarana: the ego; the ""I""-maker; creates the sense of individual identity, ownership, and doership",2
"Benefits of Surya Namaskar","A connected series of asanas with synchronized breath that functions as moving meditation; benefits include improved focus and reduced anxiety, depression, stress responses, and insomnia",2
